Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.236974030747518,0.198814117310018,-0.0472840790155531,0,0,0,0.0468580123048407,1.54404131998268E-05,-6.36178566521936E-07,1.49119062174586E-06,1.79723392941374E-05,2.33806617611275E-06,9.28318321799851E-06,0,0,0,0,0,0,package://ping-pong/meshes/base_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://ping-pong/meshes/base_link.STL,,KRS3300_scale-3;arm_supporter_3300A-1;joint_base-6;body_panel-1;arm_supporter_3300A-2;joint_base-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upper_shoulder,-0.0154277085596627,-0.00223358541973112,4.50695554159442E-05,0,0,0,0.0335476362175246,3.45395074153155E-06,9.45834023407956E-09,2.11997951639057E-08,4.64648612211524E-06,1.21543964032148E-08,3.81490040295177E-06,0,0,0,0,0,0,package://ping-pong/meshes/upper_shoulder.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://ping-pong/meshes/upper_shoulder.STL,,cross_upper_flame-1;KRS3300_scale-9;cross_bottom_flame-1;bottom_arm_26mm-3;bottom_arm_26mm-2;joint_base-7,Origin_upper_shoulder,Axis_upper_shoulder,upper_shoulder,continuous,0.2173,-0.020918,0.16517,-1.6552,0.24811,-1.7979,base_link,1,0,0,,,,,,,,,,,,
lower_shoulder,-5.97024606077967E-05,-2.62163623037243E-05,0.0861382562708247,0,0,0,0.0576719523187774,1.71208966848189E-05,-1.21362897592568E-08,-1.02969443818026E-08,1.64179788574469E-05,2.12100717514079E-08,4.45014104981362E-06,0,0,0,0,0,0,package://ping-pong/meshes/lower_shoulder.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://ping-pong/meshes/lower_shoulder.STL,,arm_long-1;arm_long-3;arm_long-2;arm_long-4;joint_base-10;joint_base-11;bottom_arm_26mm-5;KRS3300_scale-7;cross_bottom_flame-3;cross_upper_flame-3;bottom_arm_26mm-4;joint_base-12,Origin_lower_shoulder,Axis_lower_shoulder,lower_shoulder,continuous,-0.00211697862590773,-0.002599999999995,0.00924978024452464,0,0,-1.79186376010431,upper_shoulder,0,0,1,,,,,,,,,,,,
upper_hand,0.00320599776801292,0.023294358287288,0.00476029253124649,0,0,0,0.031305818017557,3.97075172174144E-06,2.25290319393319E-08,3.40259465463214E-07,4.16713432161534E-06,-1.85633135872339E-09,3.2938792496872E-06,0,0,0,0,0,0,package://ping-pong/meshes/upper_hand.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://ping-pong/meshes/upper_hand.STL,,upper_arm_38mm-1;KRS3300_scale-8;bottom_arm_38mm-1;joint_base-9;joint_base-8,Origin_upper_hand,Axis_upper_hand,upper_hand,continuous,0.000112596657948771,0,0.132750131806573,0.00111275867836401,0.704035778292276,1.57151661473209,lower_shoulder,0,1,0,,,,,,,,,,,,
hand,0.0321731917729678,0.0165070943385693,0.0170774263212789,0,0,0,0.0364485484086937,4.87558289521533E-06,-6.72451244131164E-10,9.10211126920207E-07,1.9761361014673E-05,9.25529998709742E-10,1.6594817641288E-05,0,0,0,0,0,0,package://ping-pong/meshes/hand.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ping-pong/meshes/hand.STL,,racket_holeder_1-1;racket_holeder_2-1,Origin_hand,,hand,fixed,-0.0166,0.012495,0.1085,1.5708,1.5708,0,upper_hand,0,0,0,,,,,,,,,,,,
